cve_ent,nom_ent,cve_mun,nom_mun,mun_ori,cve_geo,id_region,region,proyecto,fecha_aut,fecha_vig,vol_tot,unidades,tipo,material
31,Yucatán,023,Chochola,Chocholá,31023,1,I Poniente ,Rancho Altamira,03/10/2016,31/12/0031,2767.47,m3,maderable,NA
31,Yucatán,079,Tekax,Tekax,31079,7,VII Sur ,SUDZAL CHICO,28/10/2016,31/12/2031,29045.77,m3,maderable,NA
31,Yucatán,079,Tekax,Tekax,31079,7,VII Sur ,Alfonso Caso II,07/10/2016,01/01/2036,103185.82,m3,maderable,NA
31,Yucatán,043,Kaua,Kaua,31043,6,VI Oriente,Chen Santa Ana N° 1,10/02/2017,31/12/2021,689.35,m3,maderable,NA
31,Yucatán,091,Tinum,Tinum,31091,6,VI Oriente,Tablaje Catastral 7126,10/02/2017,31/12/2021,579.7,m3,maderable,NA
31,Yucatán,043,Kaua,Kaua,31043,6,VI Oriente,Tablaje Catastral 2286 Chan Haymil,13/02/2017,31/12/2021,932,m3,maderable,NA
31,Yucatán,102,Valladolid,Valladolid,31102,6,VI Oriente,Macchen,13/02/2017,31/12/2021,248,m3,maderable,NA
31,Yucatán,043,Kaua,Kaua,31043,6,VI Oriente,Tablaje Catastral 7460,16/02/2017,31/12/2021,604.1,m3,maderable,NA
31,Yucatán,033,Halacho,Halachó,31033,1,I Poniente ,SAN JERÓNIMO KUNCHEILA,23/03/2017,31/15/2026,7309.66,m3,maderable,NA
31,Yucatán,098,Tzucacab,Tzucacab,31098,7,VII Sur ,"T.C. 1333, Tzucacab",19/04/2017,31/12/2021,16487.6,m3,maderable,NA
31,Yucatán,079,Tekax,Tekax,31079,7,VII Sur ,Ejido Huacpelchén y su anexo Xtoloc,25/04/2017,31/12/2026,1706.01,m3,maderable,NA
31,Yucatán,091,Tinum,Tinum,31091,6,VI Oriente,Tablaje Catastral 2435. Yokdzonot,15/05/2017,31/12/2021,493.8,m3,maderable,NA
31,Yucatán,091,Tinum,Tinum,31091,6,VI Oriente,Tablaje Catastral 7799,16/05/2017,31/12/2021,95,m3,maderable,NA
31,Yucatán,012,Cenotillo,Cenotillo,31012,5,V Noreste ,El Mostrenco,29/06/2017,31/12/2026,1588.57,m3,maderable,NA
