cve_ent,nom_ent,cve_mun,nom_mun,mun_ori,id_region,region,cve_geo,cve_local,nom_local,id_ue,nom_ue,razon_soc,cod_act,nom_act,num_per,lat,long,fecha
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,7991076,ACADEMIA DE BELLEZA AURY,,611511,Escuelas del sector privado dedicadas a la enseñanza de oficios,0 a 5 personas,20.99740875,-89.65010301,2019-11
31,Yucatán       ,102,Valladolid,Valladolid,6,VI Oriente,31102,1,Valladolid,9081752,ACADEMIA DE BELLEZA BEAUTY FASHION,,611511,Escuelas del sector privado dedicadas a la enseñanza de oficios,0 a 5 personas,20.69186205,-88.20498413,2019-11
31,Yucatán       ,052,Motul,Motul,4,IV Litoral centro ,31052,1,Motul de Carrillo Puerto,4527299,ACADEMIA DE BELLEZA CIELO,,611511,Escuelas del sector privado dedicadas a la enseñanza de oficios,0 a 5 personas,21.09773432,-89.2841484,2014-12
31,Yucatán       ,079,Tekax,Tekax,7,VII Sur ,31079,1,Tekax de alvaro Obregon,8527933,ACADEMIA DE BELLEZA DAJEMY,,611511,Escuelas del sector privado dedicadas a la enseñanza de oficios,0 a 5 personas,20.20175856,-89.28692229,2019-11
31,Yucatán       ,102,Valladolid,Valladolid,6,VI Oriente,31102,1,Valladolid,4499252,ACADEMIA DE BELLEZA DIADY,,611511,Escuelas del sector privado dedicadas a la enseñanza de oficios,6 a 10 personas,20.69317955,-88.20597682,2010-07
31,Yucatán       ,002,Acanceh,Acanceh,2,II Noroeste ,31002,1,Acanceh,4535209,ACADEMIA DE BELLEZA EBENEZER,ACADEMIA DE BELLEZA EBENEZER AC,611511,Escuelas del sector privado dedicadas a la enseñanza de oficios,0 a 5 personas,20.81724578,-89.45862915,2014-12
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,7606567,ACADEMIA DE BELLEZA GABRIELA MOLINA,,611511,Escuelas del sector privado dedicadas a la enseñanza de oficios,0 a 5 personas,20.99652856,-89.69962659,2019-11
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,4522924,ACADEMIA DE BELLEZA GERMY TERRON,,611511,Escuelas del sector privado dedicadas a la enseñanza de oficios,0 a 5 personas,20.96794191,-89.66452417,2014-12
31,Yucatán       ,059,Progreso,Progreso,2,II Noroeste ,31059,1,Progreso,9024864,ACADEMIA DE BELLEZA IMAGENY ESTILO,,611511,Escuelas del sector privado dedicadas a la enseñanza de oficios,0 a 5 personas,21.28415671,-89.66265606,2019-11
31,Yucatán       ,101,Uman,Uman,2,II Noroeste ,31101,1,Uman,4585964,ACADEMIA DE BELLEZA ISABELLA,,611511,Escuelas del sector privado dedicadas a la enseñanza de oficios,0 a 5 personas,20.88163925,-89.75027867,2010-07
