cve_ent,nom_ent,cve_mun,nom_mun,mun_ori,cve_geo,id_region,region,cve_local,nom_local,id_ue,nom_ue,razon_soc,cod_act,nom_act,num_per,lat,long,fecha
31,Yucatán       ,041,Kanasin,Kanasín,31041,2,II Noroeste ,1,Kanasín,8208302,COMBUSTIBLES DE SUROESTE,COMBUSTIBLES DE SUROESTE SA DE CV,468411,Comercio al por menor de gasolina y diesel,11 a 30 personas,20.93346444,-89.56951803,2019-11
31,Yucatán       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,4577435,COMBUSTIBLES DE TANLUM,COMBUSTIBLES DE TANLUM SA DE CV,468411,Comercio al por menor de gasolina y diesel,11 a 30 personas,21.00205764,-89.6388535,2010-07
31,Yucatán       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,6280492,COMBUSTIBLES DE YUCATAN,COMBUSTIBLES DE YUCATAN SA DE CV,468411,Comercio al por menor de gasolina y diesel,11 a 30 personas,20.93822664,-89.61849756,2014-12
31,Yucatán       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,6280175,COMBUSTIBLES DE YUCATAN,COMBUSTIBLES DE YUCATAN SA DE CV,468411,Comercio al por menor de gasolina y diesel,11 a 30 personas,20.96592276,-89.62624956,2010-07
31,Yucatán       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,6280493,COMBUSTIBLES DE YUCATAN,COMBUSTIBLES DE YUCATAN SA DE CV,468411,Comercio al por menor de gasolina y diesel,11 a 30 personas,20.92665374,-89.6849937,2014-12
31,Yucatán       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,6280105,COMBUSTIBLES DE YUCATAN,COMBUSTIBLES DE YUCATAN SA DE CV,468411,Comercio al por menor de gasolina y diesel,11 a 30 personas,20.99849349,-89.57128068,2010-07
31,Yucatán       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,6280445,COMBUSTIBLES DE YUCATAN  SUCURSAL ITZAES,COMBUSTIBLES DE YUCATAN SA DE CV,468411,Comercio al por menor de gasolina y diesel,11 a 30 personas,20.94875045,-89.64976803,2010-07
31,Yucatán       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,6280095,COMBUSTIBLES DE YUCATAN  SUCURSAL KUKULKAN,COMBUSTIBLES DE YUCATAN SA DE CV,468411,Comercio al por menor de gasolina y diesel,11 a 30 personas,20.93989886,-89.59347962,2010-07
31,Yucatán       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,6280448,COMBUSTIBLES DE YUCATAN  SUCURSAL PERIFERICO SUR,COMBUSTIBLES DE YUCATAN SA DE CV,468411,Comercio al por menor de gasolina y diesel,11 a 30 personas,20.89409123,-89.66671586,2010-07
31,Yucatán       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,6780427,COMBUSTIBLES DE YUCATAN CHICHI II,COMBUSTIBLES DE YUCATAN SA DE CV,468411,Comercio al por menor de gasolina y diesel,6 a 10 personas,20.99882815,-89.56282521,2017-03
31,Yucatán       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,6280442,COMBUSTIBLES DE YUCATAN SUCURSAL  LINDAVISTA,COMBUSTIBLES DE YUCATAN SA DE CV,468411,Comercio al por menor de gasolina y diesel,11 a 30 personas,21.01136988,-89.65328151,2010-07
